Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
tubo3_R3D.dv - C=1,70,02:31.1,00:00.5,No Label,0,1,70,166.5302124,275.5916748,0.251859482,4,0.06296487,93.93260766,321.9985759,0.251266479,-0.017272949,18071.29733,12338.26374,4441,44325,13553473
tubo3_R3D.dv - C=1,71,02:31.1,00:00.5,No Label,0,1,71,167.569458,275.2981262,1.079908422,4,0.269977105,105.7731198,322.2864899,1.039245605,-0.293548584,17821.35467,12283.3786,4712,43797,13366016
tubo3_R3D.dv - C=1,72,02:31.1,00:00.5,No Label,0,1,72,168.6829376,274.8353271,1.205827447,4,0.301456862,112.5694866,322.4723097,1.113479614,-0.462799072,17672.26267,11967.61381,4631,43717,13254197
tubo3_R3D.dv - C=1,73,02:31.1,00:00.5,No Label,0,1,73,169.9069824,274.4867859,1.272700547,4,0.318175137,105.8941546,322.8178717,1.2240448,-0.34854126,18018.69333,12181.95066,4387,44351,13514020
tubo3_R3D.dv - C=1,74,02:31.1,00:00.5,No Label,0,1,74,171.4809113,274.0159302,1.64285029,4,0.410712572,106.6551416,323.2497996,1.573928833,-0.470855713,18376.632,12137.46838,4770,44604,13782474
tubo3_R3D.dv - C=1,75,02:31.1,00:00.5,No Label,0,1,75,173.3530121,273.377655,1.977917258,4,0.494479315,108.8264184,323.7075981,1.87210083,-0.638275146,17469.65333,12113.268,4127,42911,13102240
tubo3_R3D.dv - C=1,76,02:31.1,00:00.5,No Label,0,1,76,175.0966492,272.7681274,1.847104265,4,0.461776066,109.2683151,324.1315904,1.743637085,-0.609527588,17007.42533,12451.08826,4636,45560,12755569
tubo3_R3D.dv - C=1,77,02:31.1,00:00.5,No Label,0,1,77,176.5986023,272.4082031,1.544476838,4,0.38611921,103.4761814,324.6433358,1.501953125,-0.359924316,15984.96,12516.87829,4009,44514,11988720
tubo3_R3D.dv - C=1,78,02:31.1,00:00.5,No Label,0,1,78,177.9427795,272.1981812,1.360485832,4,0.340121458,98.88050458,325.2006805,1.344177246,-0.210021973,16537.39733,13358.77721,4124,47306,12403048
tubo3_R3D.dv - C=1,79,02:31.1,00:00.5,No Label,0,1,79,178.5320435,272.0529175,0.60690485,4,0.151726213,103.8483646,325.402029,0.589263916,-0.145263672,15711.62133,12769.08905,4047,44633,11783716
tubo3_R3D.dv - C=1,80,02:31.1,00:00.5,No Label,0,1,80,179.0913391,271.7702026,0.626689167,4,0.156672292,116.815953,325.4731184,0.559295654,-0.282714844,17399.96133,14311.44923,4222,50707,13049971
tubo3_R3D.dv - C=1,81,02:31.1,00:00.6,No Label,0,1,81,179.6076202,271.5754395,0.551796068,4,0.137949017,110.6687007,325.5950193,0.516281128,-0.194763184,17022.13067,14100.2404,3800,49688,12766598
tubo3_R3D.dv - C=1,82,02:31.1,00:00.6,No Label,0,1,82,179.3687439,271.3425598,0.333608803,4,0.083402201,-134.27184,325.2690134,-0.238876343,-0.232879639,16611.65067,12809.57577,4407,45486,12458738
tubo3_R3D.dv - C=1,83,02:31.1,00:00.6,No Label,0,1,83,180.0229492,271.2479858,0.661005931,4,0.165251483,98.22595378,325.5514277,0.654205322,-0.094573975,18034.19333,14806.0313,4239,50448,13525645
tubo3_R3D.dv - C=1,84,02:31.2,00:00.6,No Label,0,1,84,180.3243713,271.2999878,0.30587497,4,0.076468742,80.21163885,325.7615113,0.301422119,0.052001953,18114.368,14516.82551,4048,49925,13585776
tubo3_R3D.dv - C=1,85,02:31.2,00:00.6,No Label,0,1,85,180.1808472,271.281189,0.144750072,4,0.036187518,-97.46221692,325.6664262,-0.14352417,-0.018798828,16463.8,12649.0489,3927,44112,12347850
tubo3_R3D.dv - C=1,86,02:31.2,00:00.6,No Label,0,1,86,180.4552917,271.1665344,0.29743149,4,0.074357873,112.6737734,325.722891,0.27444458,-0.114654541,17213.684,13271.19099,4022,46177,12910263
tubo3_R3D.dv - C=1,87,02:31.2,00:00.6,No Label,0,1,87,180.5715485,271.1843567,0.117614866,4,0.029403716,81.28442405,325.8021477,0.116256714,0.017822266,18134.828,15002.81922,4106,51179,13601121
tubo3_R3D.dv - C=1,88,02:31.2,00:00.6,No Label,0,1,88,180.4344177,271.2409668,0.148356137,4,0.037089034,-67.56831548,325.7732972,-0.137130737,0.056610107,17136.8,13235.05907,4023,46324,12852600
tubo3_R3D.dv - C=1,89,02:31.2,00:00.6,No Label,0,1,89,180.526535,271.2369385,0.092205347,4,0.023051337,92.50404613,325.8209733,0.09211731,-0.00402832,16168.90667,12761.97757,3881,45299,12126680
tubo3_R3D.dv - C=1,90,02:31.2,00:00.6,No Label,0,1,90,180.6737823,271.207489,0.150163386,4,0.037540846,101.310018,325.8780719,0.147247314,-0.029449463,18322.22133,15173.67123,4213,52571,13741666
tubo3_R3D.dv - C=1,91,02:31.2,00:00.6,No Label,0,1,91,180.6124115,271.3356934,0.142136327,4,0.035534082,-25.58025241,325.9507657,-0.06137085,0.128204346,16709.14533,13590.85617,3951,48895,12531859
tubo3_R3D.dv - C=1,92,02:31.2,00:00.6,No Label,0,1,92,180.568573,271.3855591,0.066395817,4,0.016598954,-41.31973875,325.9679911,-0.043838501,0.049865723,16015.34133,12672.94534,4223,44136,12011506
tubo3_R3D.dv - C=1,93,02:31.2,00:00.6,No Label,0,1,93,180.6750183,271.4227295,0.112748587,4,0.028187147,70.75099869,326.0579095,0.106445313,0.03717041,16502.404,13028.95898,4060,46237,12376803
tubo3_R3D.dv - C=1,94,02:31.2,00:00.6,No Label,0,1,94,180.78302,271.4010315,0.110159758,4,0.027539939,101.3598243,326.099709,0.108001709,-0.021697998,18379.76933,15420.98551,4171,52604,13784827
tubo3_R3D.dv - C=1,95,02:31.2,00:00.6,No Label,0,1,95,180.4048615,271.2745667,0.398744605,4,0.099686151,-108.4912012,325.7849053,-0.378158569,-0.126464844,17114.34133,13374.73914,4119,45596,12835756
tubo3_R3D.dv - C=1,96,02:31.2,00:00.7,No Label,0,1,96,180.7129974,271.300415,0.309218249,4,0.077304562,85.2049674,325.9771505,0.308135986,0.025848389,15924.696,12676.61937,4138,43300,11943522
tubo3_R3D.dv - C=1,97,02:31.2,00:00.7,No Label,0,1,97,180.8851776,271.1584167,0.223180482,4,0.055795121,129.5127691,325.9544975,0.172180176,-0.141998291,17345.11333,14214.71247,4326,48720,13008835
tubo3_R3D.dv - C=1,98,02:31.2,00:00.7,No Label,0,1,98,180.5438538,271.2494812,0.353262943,4,0.088315736,-75.06163185,325.8410106,-0.341323853,0.091064453,17504.388,14664.4987,4084,49376,13128291
tubo3_R3D.dv - C=1,99,02:31.2,00:00.7,No Label,0,1,99,180.3588104,271.2799377,0.187533029,4,0.046883257,-80.65347468,325.7638794,-0.185043335,0.030456543,16584.96667,12979.58691,4122,44703,12438725
tubo3_R3D.dv - C=1,100,02:31.3,00:00.7,No Label,0,1,100,180.4339752,271.2151794,0.099213829,4,0.024803457,130.7466848,325.7515817,0.075164795,-0.064758301,17063.78267,13320.32657,4247,45857,12797837
tubo3_R3D.dv - C=1,101,02:31.3,00:00.7,No Label,0,1,101,180.1860504,271.2718506,0.254319341,4,0.063579835,-77.12448909,325.6615263,-0.247924805,0.056671143,18155.03333,14706.25103,4362,50428,13616275
tubo3_R3D.dv - C=1,102,02:31.3,00:00.7,No Label,0,1,102,179.9822845,271.4773254,0.289379413,4,0.072344853,-44.76077271,325.7200654,-0.203765869,0.205474854,16427.97867,13019.76384,4380,46192,12320984
tubo3_R3D.dv - C=1,103,02:31.3,00:00.7,No Label,0,1,103,180.1307983,271.4394531,0.153266628,4,0.038316657,104.3061098,325.770596,0.148513794,-0.037872314,17067.00667,13650.32682,4135,46688,12800255
tubo3_R3D.dv - C=1,104,02:31.3,00:00.7,No Label,0,1,104,180.0118713,271.6734314,0.262468023,4,0.065617006,-26.94344522,325.8998729,-0.118927002,0.233978271,17544.88267,14085.31394,4277,48096,13158662
tubo3_R3D.dv - C=1,105,02:31.3,00:00.7,No Label,0,1,105,179.6115265,271.7337646,0.404865532,4,0.101216383,-81.42990313,325.7292423,-0.400344849,0.060333252,15848.012,12409.96731,4044,44699,11886009
tubo3_R3D.dv - C=1,106,02:31.3,00:00.7,No Label,0,1,106,179.8973541,271.8707275,0.316948373,4,0.079237093,64.39724495,326.0011511,0.285827637,0.136962891,17747.99067,14493.37715,4352,50357,13310993
tubo3_R3D.dv - C=1,107,02:31.3,00:00.7,No Label,0,1,107,179.4131622,272.0222473,0.507346068,4,0.126836517,-72.62342112,325.8606847,-0.484191895,0.151519775,16851.208,12909.54438,4427,46415,12638406
tubo3_R3D.dv - C=1,108,02:31.3,00:00.7,No Label,0,1,108,179.5151672,272.0016785,0.10405815,4,0.026014537,101.400642,325.8996906,0.102005005,-0.020568848,16151.04933,12801.71587,4255,44058,12113287
tubo3_R3D.dv - C=1,109,02:31.3,00:00.7,No Label,0,1,109,179.4165802,272.1056824,0.143304627,4,0.035826157,-43.46842892,325.9322194,-0.098587036,0.104003906,17593.87867,13643.23536,4111,48025,13195409
tubo3_R3D.dv - C=1,110,02:31.3,00:00.7,No Label,0,1,110,179.2202454,272.2098999,0.222280594,4,0.055570148,-62.04000752,325.911224,-0.196334839,0.104217529,15927.24,12007.65376,4189,44008,11945430
tubo3_R3D.dv - C=1,111,02:31.3,00:00.8,No Label,0,1,111,179.3686218,272.263916,0.157902868,4,0.039475717,69.9961391,326.0379463,0.148376465,0.054016113,17824.76,14116.87576,4669,49129,13368570
tubo3_R3D.dv - C=1,112,02:31.3,00:00.8,No Label,0,1,112,179.0726624,272.4045715,0.327682749,4,0.081920687,-64.58052762,325.9927438,-0.295959473,0.140655518,16583.66133,12954.94882,4169,45560,12437746
tubo3_R3D.dv - C=1,113,02:31.3,00:00.8,No Label,0,1,113,179.1221924,272.4448242,0.063823996,4,0.015955999,50.89953958,326.0535877,0.049530029,0.040252686,15694.464,11950.35517,4318,42879,11770848
tubo3_R3D.dv - C=1,114,02:31.4,00:00.8,No Label,0,1,114,179.1790161,272.355835,0.105584205,4,0.026396051,147.4400229,326.010461,0.05682373,-0.088989258,17246.792,13802.65495,3959,48029,12935094
tubo3_R3D.dv - C=1,115,02:31.4,00:00.8,No Label,0,1,115,178.7913208,272.4692078,0.403931984,4,0.100982996,-73.69968656,325.8923221,-0.387695313,0.113372803,15539.74267,12104.75551,4109,43826,11654807
tubo3_R3D.dv - C=1,116,02:31.4,00:00.8,No Label,0,1,116,178.9291534,272.4093018,0.150288278,4,0.03757207,113.4912392,325.9178879,0.137832642,-0.059906006,16809.43733,13329.92099,4348,45883,12607078
tubo3_R3D.dv - C=1,117,02:31.4,00:00.8,No Label,0,1,117,178.6847534,272.5822144,0.299382929,4,0.074845732,-54.72070503,325.9283736,-0.244400024,0.172912598,16232.96267,12775.32583,4198,45386,12174722
tubo3_R3D.dv - C=1,118,02:31.4,00:00.8,No Label,0,1,118,178.67276,272.629425,0.04871028,4,0.01217757,-14.25391051,325.9612839,-0.011993408,0.047210693,15084.788,11481.68757,3888,40876,11313591
tubo3_R3D.dv - C=1,119,02:31.4,00:00.8,No Label,0,1,119,178.5925293,272.5557251,0.108943334,4,0.027235834,-132.5707012,325.8556656,-0.080230713,-0.073699951,16061.932,12729.09231,3668,44395,12046449
