Image Name," ""Image Plane"""," ""Image Date and Time"""," ""Elapsed Time"""," ""Stage Label"""," ""Wavelength"""," ""Object #"""," ""Frame #"""," ""X"""," ""Y"""," ""Distance"""," ""Time Interval"""," ""Velocity"""," ""Absolute Angle"""," ""Distance To Origin"""," ""Delta X"""," ""Delta Y"""," ""Avgerage Intensity"""," ""Intensity S.D."""," ""Minimum Intensity"""," ""Maximum Intensity"""," ""Total Intensity"""
Test_set,77," ""16:38:16.541"""," ""00:00:00.194"""," ""No Label""",0,1,77,111.48,329.788,0.27888,0.003,92.96,122.277,348.12, , ,1891.98,1508.29,219,5133,1.50E+06
Test_set,78," ""16:38:16.543"""," ""00:00:00.196"""," ""No Label""",0,1,78,111.603,329.789,0.123525,0.002,61.7627,89.1649,348.161, , ,1851.47,1520.54,264,5217,1.47E+06
Test_set,79," ""16:38:16.546"""," ""00:00:00.199"""," ""No Label""",0,1,79,112.467,329.769,0.863817,0.003,287.939,91.3443,348.42, , ,1938.59,1558.75,264,5511,1.54E+06
Test_set,80," ""16:38:16.548"""," ""00:00:00.201"""," ""No Label""",0,1,80,112.774,329.627,0.338522,0.002,169.261,114.784,348.385, , ,1881.18,1533.79,247,5086,1.49E+06
Test_set,81," ""16:38:16.551"""," ""00:00:00.204"""," ""No Label""",0,1,81,113.671,329.473,0.909833,0.003,303.278,99.762,348.53, , ,1881.06,1560.75,248,5272,1.49E+06
Test_set,82," ""16:38:16.554"""," ""00:00:00.207"""," ""No Label""",0,1,82,114.724,328.889,1.2047,0.003,401.568,119.018,348.324, , ,1871.86,1570.9,222,5283,1.48E+06
Test_set,83," ""16:38:16.557"""," ""00:00:00.210"""," ""No Label""",0,1,83,115.516,328.772,0.800833,0.003,266.944,98.3991,348.475, , ,1856.29,1573.14,243,5369,1.47E+06
Test_set,84," ""16:38:16.559"""," ""00:00:00.212"""," ""No Label""",0,1,84,116.364,328.738,0.848616,0.002,424.308,92.263,348.725, , ,1951.49,1584.9,224,5386,1.55E+06
Test_set,85," ""16:38:16.562"""," ""00:00:00.215"""," ""No Label""",0,1,85,116.73,328.708,0.366756,0.003,122.252,94.6966,348.819, , ,1927.13,1574.17,157,5292,1.53E+06
Test_set,86," ""16:38:16.565"""," ""00:00:00.218"""," ""No Label""",0,1,86,117.475,328.622,0.749886,0.003,249.962,96.5783,348.988, , ,2011.68,1592.61,200,5441,1.59E+06
Test_set,87," ""16:38:16.567"""," ""00:00:00.220"""," ""No Label""",0,1,87,117.692,328.496,0.250951,0.002,125.476,120.205,348.943, , ,1945.01,1570.43,184,5316,1.54E+06
Test_set,88," ""16:38:16.570"""," ""00:00:00.223"""," ""No Label""",0,1,88,118.559,327.943,1.02854,0.003,342.847,122.535,348.716, , ,1866.46,1537.7,186,5129,1.48E+06
Test_set,89," ""16:38:16.573"""," ""00:00:00.226"""," ""No Label""",0,1,89,119.423,327.831,0.871065,0.003,290.355,97.3389,348.906, , ,1976.94,1582.23,147,5226,1.57E+06
Test_set,90," ""16:38:16.575"""," ""00:00:00.228"""," ""No Label""",0,1,90,119.669,327.784,0.250815,0.002,125.408,100.999,348.945, , ,1968.11,1606.87,178,5387,1.56E+06
Test_set,91," ""16:38:16.578"""," ""00:00:00.231"""," ""No Label""",0,1,91,120.436,327.675,0.774745,0.003,258.248,98.0248,349.108, , ,2069.63,1634.4,131,5446,1.64E+06
Test_set,92," ""16:38:16.581"""," ""00:00:00.234"""," ""No Label""",0,1,92,120.754,327.612,0.323692,0.003,107.897,101.249,349.158, , ,2039.2,1644.65,243,5753,1.62E+06
Test_set,93," ""16:38:16.583"""," ""00:00:00.236"""," ""No Label""",0,1,93,121.603,327.364,0.884728,0.002,442.364,106.272,349.22, , ,2015.71,1612.56,247,5577,1.60E+06
Test_set,94," ""16:38:16.586"""," ""00:00:00.239"""," ""No Label""",0,1,94,122.518,326.733,1.11189,0.003,370.631,124.579,348.949, , ,1991.38,1578.54,198,5572,1.58E+06
Test_set,95," ""16:38:16.589"""," ""00:00:00.242"""," ""No Label""",0,1,95,123.47,326.528,0.97333,0.003,324.443,102.185,349.092, , ,2131.73,1593.15,278,5565,1.69E+06
Test_set,96," ""16:38:16.592"""," ""00:00:00.245"""," ""No Label""",0,1,96,123.819,326.488,0.351882,0.003,117.294,96.5587,349.178, , ,2139.35,1539.01,265,5358,1.69E+06
Test_set,97," ""16:38:16.594"""," ""00:00:00.247"""," ""No Label""",0,1,97,124.776,325.884,1.13144,0.002,565.719,122.267,348.955, , ,2121.15,1515.09,273,5370,1.68E+06
Test_set,98," ""16:38:16.597"""," ""00:00:00.250"""," ""No Label""",0,1,98,125.605,325.731,0.843402,0.003,281.134,100.438,349.109, , ,2091.91,1507.73,314,5377,1.66E+06
Test_set,99," ""16:38:16.600"""," ""00:00:00.253"""," ""No Label""",0,1,99,126.348,325.579,0.757553,0.003,252.518,101.594,349.235, , ,2146.44,1518.01,300,5584,1.70E+06
Test_set,100," ""16:38:16.602"""," ""00:00:00.255"""," ""No Label""",0,1,100,126.325,325.52,0.0625991,0.002,31.2996,-159.235,349.173, , ,2184.53,1500.91,296,5542,1.73E+06
Test_set,101," ""16:38:16.605"""," ""00:00:00.258"""," ""No Label""",0,1,101,126.423,325.491,0.10141,0.003,33.8032,106.72,349.18, , ,2281.33,1504.23,308,5614,1.81E+06
Test_set,102," ""16:38:16.608"""," ""00:00:00.261"""," ""No Label""",0,1,102,126.713,324.896,0.662191,0.003,220.73,154.008,348.731, , ,2190.79,1504.41,294,5395,1.74E+06
Test_set,103," ""16:38:16.611"""," ""00:00:00.264"""," ""No Label""",0,1,103,127.498,324.802,0.791243,0.003,263.748,96.8337,348.93, , ,2266.23,1519.56,312,5553,1.79E+06
Test_set,104," ""16:38:16.613"""," ""00:00:00.266"""," ""No Label""",0,1,104,127.634,324.77,0.139373,0.002,69.6867,102.983,348.95, , ,2207.61,1533.74,242,5758,1.75E+06
Test_set,105," ""16:38:16.616"""," ""00:00:00.269"""," ""No Label""",0,1,105,128.566,324.69,0.935088,0.003,311.696,94.9484,349.217, , ,2166.31,1532.31,298,5832,1.72E+06
Test_set,106," ""16:38:16.619"""," ""00:00:00.272"""," ""No Label""",0,1,106,129.421,324.478,0.880755,0.003,293.585,103.92,349.336, , ,2290.16,1511.49,280,5510,1.81E+06
Test_set,107," ""16:38:16.622"""," ""00:00:00.275"""," ""No Label""",0,1,107,129.626,323.694,0.810214,0.003,270.071,165.308,348.684, , ,2258.45,1496.12,255,5404,1.79E+06
Test_set,108," ""16:38:16.624"""," ""00:00:00.277"""," ""No Label""",0,1,108,130.56,323.553,0.9445,0.002,472.25,98.5925,348.902, , ,2221.69,1468.71,293,5190,1.76E+06
Test_set,109," ""16:38:16.627"""," ""00:00:00.280"""," ""No Label""",0,1,109,131.462,323.451,0.907909,0.003,302.636,96.4423,349.146, , ,2315.33,1434.99,343,5156,1.83E+06
Test_set,110," ""16:38:16.630"""," ""00:00:00.283"""," ""No Label""",0,1,110,131.746,322.773,0.734877,0.003,244.959,157.324,348.625, , ,2282.87,1417.7,302,5196,1.81E+06
Test_set,111," ""16:38:16.633"""," ""00:00:00.286"""," ""No Label""",0,1,111,132.708,322.629,0.972918,0.003,324.306,98.5233,348.856, , ,2236.69,1436.39,272,4999,1.77E+06
Test_set,112," ""16:38:16.635"""," ""00:00:00.288"""," ""No Label""",0,1,112,133.759,322.479,1.06226,0.002,531.131,98.1225,349.119, , ,2200.1,1439.28,234,4938,1.74E+06
Test_set,113," ""16:38:16.638"""," ""00:00:00.291"""," ""No Label""",0,1,113,134.661,321.661,1.21746,0.003,405.82,132.223,348.711, , ,2113.49,1442.46,265,4900,1.67E+06
Test_set,114," ""16:38:16.641"""," ""00:00:00.294"""," ""No Label""",0,1,114,135.405,321.581,0.74824,0.003,249.413,96.078,348.926, , ,2163.23,1371.37,261,5110,1.71E+06
Test_set,115," ""16:38:16.644"""," ""00:00:00.297"""," ""No Label""",0,1,115,136.24,320.903,1.076,0.003,358.665,129.055,348.626, , ,2085.5,1480.93,219,4833,1.65E+06
Test_set,116," ""16:38:16.647"""," ""00:00:00.300"""," ""No Label""",0,1,116,137.696,319.756,1.85321,0.003,617.736,128.263,348.143, , ,1853.45,1454.24,259,4804,1.47E+06
Test_set,117," ""16:38:16.649"""," ""00:00:00.302"""," ""No Label""",0,1,117,138.815,319.035,1.33151,0.002,665.756,122.793,347.926, , ,1750.5,1367.11,238,4598,1.39E+06
Test_set,118," ""16:38:16.652"""," ""00:00:00.305"""," ""No Label""",0,1,118,140.028,318.464,1.34048,0.003,446.825,115.206,347.889, , ,1715.68,1312.99,253,4486,1.36E+06
Test_set,119," ""16:38:16.654"""," ""00:00:00.307"""," ""No Label""",0,1,119,141.186,317.658,1.41084,0.002,705.42,124.84,347.62, , ,1718.95,1297.46,300,4465,1.36E+06
